,词语,次数
1299,中青,2
1300,不惜,1
1301,优,1
1302,酷,1
1303,b,2
1304,战,1
1305,啥时候,1
1306,凯,1
1307,叔,1
1308,25,2
1309,倍速,3
1310,正好,1
1311,编剧,1
1312,共同,1
1313,续集,1
1314,skr,1
1315,不止,1
1316,西方,3
1317,半,2
1318,佛,109
1319,gcmg,1
1320,米,1
1321,球,1
1322,集体,2
1323,集体利益,1
1324,利益,2
1325,架,1
1326,火,3
1327,烤,1
1328,疫苗,1
1329,番,1
1330,私立,1
1331,中学,1
1332,人家,3
1333,拐弯,2
1334,拐弯抹角,2
1335,城府,1
1336,建议,2
1337,申遗,1
1338,考语,1
1339,1987,1
1340,000000,1
1341,绝命,1
1342,毒,1
1343,师,1
1344,华为,1
1345,商标,1
1346,？？？？,1
1347,我家,1
1348,了解,4
1349,~~~,2
1350,hahah,1
1351,劇,1
1352,四大,1
1353,专,2
1354,八,1
1355,盲,1
1356,听,20
1357,下来,3
1358,悍匪,1
1359,四,2
1360,今何在,1
1361,何在,1
1362,是因为,1
1363,分封,1
1364,领地,1
1365,木鱼,1
1366,你们,11
1367,java,1
1368,yes,14
1369,and,11
1370,no,8
1371,精髓,1
1372,掩盖,2
1373,过失,1
1374,隔壁,1
1375,解说,2
1376,好多,1
1377,奸,2
1378,奇,2
1379,万变,1
1380,小伙,1
1381,小伙子,1
1382,伙子,1
1383,大事,2
1384,算,2
1385,抄,1
1386,嗦,1
1387,嘎,1
1388,话,4
1389,尖子,1
1390,尖子生,1
1391,瓜,1
1392,US,1
1393,not,9
1394,united,1
1395,",",85
1396,GB,1
1397,great,2
1398,演,1
1399,刚,3
1400,菜,1
1401,抠,1
1402,脚,1
1403,两万,2
1404,两万三千,1
1405,万三,1
1406,三千,1
1407,小部,1
1408,英气,1
1409,英气逼人,1
1410,逼人,1
1411,只,4
1412,请用,1
1413,用脑,1
1414,脑子,2
1415,反思,1
1416,野村,1
1417,直,1
1418,邦,1
1419,点,6
1420,赞,1
1421,叫,13
1422,菜鸟,1
1423,高级,1
1424,受,2
1425,双重,1
1426,双重领导,1
1427,领导,1
1428,清朝,1
1429,具体,3
1430,事物,2
1431,击剑,2
1432,两百,1
1433,两百多,1
1434,百多,1
1435,两万多,1
1436,万多,1
1437,秀气,1
1438,信息,2
1439,不对称性,1
1440,对称,1
1441,对称性,1
1442,感冒,1
1443,好奇,2
1444,奇怪,4
1445,这话,1
1446,送进,1
1447,精神,1
1448,精神病,1
1449,精神病院,1
1450,病院,1
1451,司礼监,3
1452,当政,1
1453,口中,1
1454,影子,6
1455,子政,1
1456,咦,1
1457,常任,3
1458,不用,4
1459,迎接,1
1460,god,4
1461,call,14
1462,me,11
1463,吐字,1
1464,加油,1
1465,牛津大学,1
1466,贝,1
1467,利,1
1468,学院,1
1469,逆子,1
1470,废话,1
1471,官僚,2
1472,朋克,1
1473,借鉴,1
1474,中国,3
1475,官制,1
1476,制服,1
1477,睡,1
1478,离开,6
1479,听不懂,10
1480,天国,1
1481,一万倍,1
1482,万倍,1
1483,水平,2
1484,黑白,1
1485,。。,6
1486,活不下去,1
1487,不下,1
1488,下去,7
1489,只要,2
1490,蠢,1
1491,巨,1
1492,佬,1
1493,肥皂,1
1494,肥皂剧,1
1495,神经,1
1496,神经质,1
1497,冯,1
1498,正,1
1499,淳,1
1500,学生,2
1501,暂停,1
1502,捋,1
1503,半天,1
1504,职业,4
1505,职业病,1
1506,掌印,2
1507,太监,2
1508,的确,5
1509,称为,1
1510,内,2
1511,分得,1
1512,渣,1
1513,情人节,1
1514,当时,2
1515,奉行,1
1516,苏美,2
1517,冷战,1
1518,两败俱伤,1
1519,然后,14
1520,从中,1
1521,获利,1
1522,联手,1
1523,手把,1
1524,英法,3
1525,殖民,1
1526,肢解,1
1527,傻子,1
1528,没了,1
1529,完蛋,2
1530,将,3
1531,多少,1
1532,赵,5
1533,孟,5
1534,所,3
1535,贱,2
1536,圣经,1
1537,孟子,1
1538,耶和华,1
1539,代皇帝,1
1540,一群,1
1541,宦官,1
1542,忽悠,1
1543,悠着,1
1544,行政,5
1545,政事,3
1546,部,3
1547,内政,3
1548,内政部,2
1549,圣诞,1
1550,特辑,1
1551,傻瓜,1
1552,傻瓜版,1
1553,在野,2
1554,野上,1
1555,上任,2
1556,一直,4
1557,方才,1
1558,主导,1
1559,几百年,1
1560,百年,1
1561,没骨气,1
1562,骨气,1
1563,松,1
1564,一口,1
1565,一口气,1
1566,口气,1
1567,招人,1
1568,串,1
1569,闲话,1
1570,捧杀,1
1571,创造,1
1572,创造性,1
1573,懒惰,1
1574,表情,1
1575,掌,2
1576,全球,3
1577,读,1
1578,上当,1
1579,当了,3
1580,时至今日,1
1581,至今,1
1582,今日,1
1583,大部,1
1584,大部分,1
1585,部分,11
1586,过时,1
1587,不要,3
1588,传统,2
1589,相比,1
1590,任命,1
1591,而非,1
1592,党派,1
1593,轮换,1
1594,第一集,1
1595,狠狠,1
1596,惊艳,1
1597,看不懂,1
1598,认同,1
1599,本来,2
1600,傻,3
1601,速度,3
1602,慢,3
1603,，，，，,1
1604,最难,1
1605,难得,1
1606,封面,1
1607,面上,1
1608,方案,1
1609,啧啧,2
1610,异性,1
1611,吸引,1
1612,不足,1
1613,），,3
1614,而且,3
1615,家室,1
1616,地位,2
1617,低,1
1618,节制,1
1619,聊天,1
1620,拖,1
1621,椅子,4
1622,咖啡,2
1623,一览,1
1624,一览无余,1
1625,无余,1
1626,政党,5
1627,一体,2
1628,官吏,2
1629,另外,2
1630,变动,1
1631,终身,1
1632,任职,3
1633,p,1
1634,抖,1
1635,跑过来,1
1636,搜,1
1637,找到,3
1638,书,1
1639,监督,1
1640,前任,1
1641,干的事,1
1642,并,4
1643,改变,1
1644,师傅,1
1645,别念,1
1646,难怪,2
1647,堂堂,1
1648,看起,3
1649,看起来,3
1650,起来,4
1651,那么,3
1652,污,1
1653,too,5
1654,想到,1
1655,那些,6
1656,县令,1
1657,县衙,1
1658,班子,1
1659,同理,1
1660,朴实,1
1661,商人,1
1662,事先,1
1663,写,1
1664,改改,1
1665,措辞,1
1666,愚蠢,6
1667,口才,1
1668,尔夫人,1
1669,之后,1
1670,国公,1
1671,系统,3
1672,唯唯,1
1673,唯唯诺诺,1
1674,诺诺,1
1675,英国政府,1
1676,远,2
1677,比不上,1
1678,上原,1
1679,老练,1
1680,信,1
1681,在野党,1
1682,书套,1
1683,娃,2
1684,Secretary,1
1685,清代,1
1686,县官,1
1687,名义,1
1688,最大,1
1689,县长,1
1690,权力,1
1691,势力,1
1692,把持,1
1693,小岛,1
1694,资源,2
1695,浪费,2
1696,按理,1
1697,按理说,1
1698,政大,1
1699,外交,4
1700,外交大臣,1
1701,交大,1
1702,前,4
1703,有喜,1
1704,喜剧,1
1705,感到,1
1706,后颈,1
1707,发凉,1
1708,断句,1
1709,政务,1
1710,政务官,1
1711,事务官,1
1712,路数,1
1713,两拨,1
1714,英国人,2
1715,国人,4
1716,未来,1
1717,来自,2
1718,包装,1
1719,装出,1
1720,出任,1
1721,理由,1
1722,三代,1
1723,官长,1
1724,好惨,1
1725,儿子,2
1726,(,4
1727,"מּ,",1
1728,_,1
1729,מּ),1
1730,正面,1
1731,面交,1
1732,交火,1
1733,同流合,1
1734,同流合污,1
1735,cross,3
1736,swords,3
1737,哦哦哦,1
1738,摸摸,1
1739,····,1
1740,早已,1
1741,老巫婆,1
1742,巫婆,1
1743,秘书长,9
1744,吏官,1
1745,诞生,1
1746,诞生地,1
1747,生地,1
1748,杨,1
1749,幂,1
1750,腿,1
1751,玩死,1
1752,农业部,1
1753,排去,1
1754,累,1
1755,gun,1
1756,实至名归,1
1757,可怜,2
1758,可怜巴巴,1
1759,巴巴,1
1760,男人,2
1761,变大,1
1762,喊,1
1763,非常,4
1764,自信,1
1765,独享,1
1766,uoup,1
1767,握,1
1768,冠,1
1769,pm,6
1770,收音,2
1771,收音机,2
1772,那种,2
1773,屏幕,1
1774,画面,17
1775,制造,4
1776,外围,1
1777,外围设备,1
1778,设备,1
1779,合同,3
1780,阻止,1
1781,被告,1
1782,告知,1
1783,匹兹堡,1
